zona,estado_pob,area_f,sexo_jefe,edad_tramo,quintil,expr,n
Zona Austral,Pobreza por ingresos,Urbano,Mujer,Mayor (60+),III,15.0,1
Zona Central,Pobreza ingresos y multidim.,Rural,Hombre,Adulto (30-59),I,3307.0,51
Zona Central,Pobreza ingresos y multidim.,Rural,Hombre,Adulto (30-59),II,529.0,6
Zona Central,Pobreza ingresos y multidim.,Rural,Hombre,Joven (≤29),I,439.0,5
Zona Central,Pobreza ingresos y multidim.,Rural,Hombre,Joven (≤29),II,17.0,1
Zona Central,Pobreza ingresos y multidim.,Rural,Hombre,Mayor (60+),I,4876.0,66
Zona Central,Pobreza ingresos y multidim.,Rural,Hombre,Mayor (60+),II,369.0,5
Zona Central,Pobreza ingresos y multidim.,Rural,Mujer,Adulto (30-59),I,6798.0,82
Zona Central,Pobreza ingresos y multidim.,Rural,Mujer,Adulto (30-59),II,496.0,9
Zona Central,Pobreza ingresos y multidim.,Rural,Mujer,Joven (≤29),I,641.0,5
Zona Central,Pobreza ingresos y multidim.,Rural,Mujer,Joven (≤29),II,272.0,3
Zona Central,Pobreza ingresos y multidim.,Rural,Mujer,Mayor (60+),I,2409.0,49
Zona Central,Pobreza ingresos y multidim.,Rural,Mujer,Mayor (60+),II,140.0,3
Zona Central,Pobreza ingresos y multidim.,Urbano,Hombre,Adulto (30-59),I,32172.0,202
Zona Central,Pobreza ingresos y multidim.,Urbano,Hombre,Adulto (30-59),II,16433.0,77
Zona Central,Pobreza ingresos y multidim.,Urbano,Hombre,Adulto (30-59),III,944.0,2
Zona Central,Pobreza ingresos y multidim.,Urbano,Hombre,Joven (≤29),I,3870.0,28
Zona Central,Pobreza ingresos y multidim.,Urbano,Hombre,Joven (≤29),II,1926.0,12
Zona Central,Pobreza ingresos y multidim.,Urbano,Hombre,Mayor (60+),I,12128.0,108
Zona Central,Pobreza ingresos y multidim.,Urbano,Hombre,Mayor (60+),II,2281.0,17
Zona Central,Pobreza ingresos y multidim.,Urbano,Mujer,Adulto (30-59),I,58212.0,449
Zona Central,Pobreza ingresos y multidim.,Urbano,Mujer,Adulto (30-59),II,15881.0,109
Zona Central,Pobreza ingresos y multidim.,Urbano,Mujer,Joven (≤29),I,6352.0,43
Zona Central,Pobreza ingresos y multidim.,Urbano,Mujer,Joven (≤29),II,5082.0,26
Zona Central,Pobreza ingresos y multidim.,Urbano,Mujer,Mayor (60+),I,23586.0,204
Zona Central,Pobreza ingresos y multidim.,Urbano,Mujer,Mayor (60+),II,1919.0,20
